"time","x","y","position","velocity","acceleration","jerk","heading"
0,9.45969,180,0,0,90,0,0
0.02,9.59386,180,0.134164,1.8,90,0,0
0.04,9.72802,180,0.268328,3.6,90,0,0
0.06,9.86219,180,0.402492,5.4,90,0,0
0.08,9.99635,180,0.536656,7.2,90,0,0
0.1,10.1305,180,0.67082,9,90,0,0
0.12,10.2647,180,0.804984,10.8,90,0,0
0.14,10.3988,180,0.939149,12.6,90,0,0
0.16,10.6367,180,1.17699,14.4,90,0,0
0.18,10.9606,180,1.50089,16.2,90,0,0
0.2,11.2845,180,1.82479,18,90,0,0
0.22,11.6535,180,2.19378,19.8,90,0,0
0.24,12.0756,180,2.6159,21.6,90,0,0
0.26,12.5048,180,3.04509,23.4,90,0,0
0.28,13.0055,180,3.5458,25.2,90,0,0
0.3,13.5125,180,4.05279,27,90,0,0
0.32,14.0808,180,4.62111,28.8,90,0,0
0.34,14.6692,180,5.20954,30.6,90,0,0
0.36,15.2979,180,5.83818,32.4,90,0,0
0.38,15.9673,180,6.50763,34.2,90,0,0
0.4,16.6651,180,7.20545,36,90,0,0
0.42,17.3996,180,7.93989,37.8,90,0,0
0.44,18.1777,180,8.71796,39.6,90,0,0
0.46,18.9883,180,9.52856,41.4,90,0,0
0.48,19.8333,180,10.3736,43.2,90,0,0
0.5,20.7138,180,11.2541,45,90,0,0
0.52,21.6305,180,12.1708,46.8,90,0,0
0.54,22.5837,180,13.124,48.6,90,0,0
0.56,23.5734,180,14.1137,50.4,90,0,0
0.58,24.5996,180,15.1399,52.2,90,0,0
0.6,25.6621,180,16.2024,54,90,0,0
0.62,26.7607,180,17.301,55.8,90,0,0
0.64,27.895,180,18.4353,57.6,90,0,0
0.66,29.0648,180,19.6051,59.4,90,0,0
0.68,30.2696,180,20.8099,61.2,90,0,0
0.7,31.5102,180,22.0505,63,90,0,0
0.72,32.79,180,23.3304,64.8,90,0,0
0.74,34.104,180,24.6443,66.6,90,0,0
0.76,35.4518,180,25.9921,68.4,90,0,0
0.78,36.8398,180,27.3801,70.2,90,0,0
0.8,38.2611,180,28.8014,72,90,0,0
0.82,39.7193,180,30.2596,73.8,90,0,0
0.84,41.2132,180,31.7535,75.6,90,0,0
0.86,42.7432,180,33.2835,77.4,90,0,0
0.88,44.3086,180,34.8489,79.2,90,0,0
0.9,45.9114,180,36.4517,81,90,0,0
0.92,47.5482,180,38.0885,82.8,90,0,0
0.94,49.2228,180,39.7631,84.6,90,0,0
0.96,50.9332,180,41.4735,86.4,90,0,0
0.98,52.6787,180,43.219,88.2,90,0,0
1,54.4597,180,45,90,0,0,0
1.02,56.2597,180,46.8,90,0,0,0
1.04,58.0597,180,48.6,90,0,0,0
1.06,59.8597,180,50.4,90,0,0,0
1.08,61.6597,180,52.2,90,0,0,0
1.1,63.4597,180,54,90,0,0,0
1.12,65.2597,180,55.8,90,0,0,0
1.14,67.0597,180,57.6,90,0,0,0
1.16,68.8597,180,59.4,90,0,0,0
1.18,70.6597,180,61.2,90,0,0,0
1.2,72.4597,180,63,90,0,0,0
1.22,74.2597,180,64.8,90,0,0,0
1.24,76.0597,180,66.6,90,0,0,0
1.26,77.8597,180,68.4,90,0,0,0
1.28,79.6597,180,70.2,90,0,0,0
1.3,81.4597,180,72,90,0,0,0
