dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.042397,310.338968,0.017910,1.791045,89.552239,4477.611940,0.002175
0.020000,19.048692,310.338980,0.024206,0.314764,-73.814021,-8168.312970,0.001671
0.020000,19.059185,310.338993,0.034699,0.524645,10.494052,4215.403643,0.000831
0.020000,19.110577,310.338990,0.086091,2.569615,102.248497,4587.722247,6.282841
0.020000,19.290679,310.338792,0.266193,9.005089,321.773659,10976.258113,6.281329
0.020000,19.510829,310.338180,0.486344,11.007564,100.123748,-11082.495561,6.279479
0.020000,19.771023,310.336931,0.746541,13.009826,100.113110,-0.531899,6.277290
0.020000,20.071281,310.334781,1.046806,15.013287,100.173062,2.997606,6.274761
0.020000,20.411606,310.331426,1.387148,17.017071,100.189220,0.807895,6.271891
0.020000,20.792037,310.326518,1.767611,19.023152,100.304053,5.741632,6.268678
0.020000,21.212578,310.319668,2.188208,21.029867,100.335709,1.582798,6.265120
0.020000,21.673227,310.310447,2.648948,23.037018,100.357566,1.092845,6.261216
0.020000,22.173975,310.298379,3.149842,25.044690,100.383620,1.302733,6.256965
0.020000,22.714849,310.282949,3.690936,27.054698,100.500405,5.839228,6.252364
0.020000,23.295848,310.263596,4.272257,29.066045,100.567317,3.345603,6.247411
0.020000,23.916944,310.239718,4.893812,31.077759,100.585693,0.918779,6.242105
0.020000,24.578084,310.210669,5.555590,33.088900,100.557073,-1.431009,6.236444
0.020000,25.279318,310.175754,6.257693,35.105138,100.811920,12.742359,6.230427
0.020000,26.020516,310.134245,7.000053,37.117984,100.642271,-8.482449,6.224052
0.020000,26.801655,310.085360,7.782719,39.133323,100.766944,6.233650,6.217318
0.020000,27.622672,310.028280,8.605718,41.149948,100.831252,3.215424,6.210225
0.020000,28.483468,309.962138,9.469052,43.166695,100.837383,0.306537,6.202771
0.020000,29.383907,309.886032,10.372701,45.182451,100.787785,-2.479885,6.194956
0.020000,30.323844,309.799014,11.316658,47.197835,100.769191,-0.929712,6.186782
0.020000,31.303144,309.700094,12.300941,49.214171,100.816799,2.380403,6.178248
0.020000,32.321602,309.588246,13.325522,51.229030,100.742948,-3.692545,6.169356
0.020000,33.378977,309.462408,14.390359,53.241841,100.640537,-5.120542,6.160109
0.020000,34.475012,309.321483,15.495416,55.252877,100.551838,-4.434980,6.150510
0.020000,35.609412,309.164340,16.640649,57.261652,100.438747,-5.654550,6.140562
0.020000,36.781870,308.989813,17.826025,59.268800,100.357392,-4.067727,6.130270
0.020000,37.991960,308.796724,19.051423,61.269911,100.055554,-15.091901,6.119640
0.020000,39.239278,308.583862,20.316774,63.267544,99.881634,-8.696032,6.108679
0.020000,40.523371,308.349996,21.621991,65.260821,99.663864,-10.888468,6.097395
0.020000,41.843725,308.093886,22.966954,67.248152,99.366522,-14.867129,6.085798
0.020000,43.199761,307.814285,24.351515,69.228076,98.996196,-18.516305,6.073899
0.020000,44.590844,307.509944,25.775501,71.199271,98.559749,-21.822333,6.061709
0.020000,46.016359,307.179604,27.238791,73.164519,98.262413,-14.866789,6.049243
0.020000,47.475550,306.822032,28.741154,75.118170,97.682536,-28.993857,6.036516
0.020000,48.967662,306.436002,30.282393,77.061932,97.188139,-24.719826,6.023544
0.020000,50.491879,306.020312,31.862279,78.994275,96.617151,-28.549437,6.010346
0.020000,52.047335,305.573789,33.480557,80.913898,95.981125,-31.801260,5.996942
0.020000,53.633149,305.095290,35.136989,82.821608,95.385523,-29.780111,5.983352
0.020000,55.248344,304.583731,36.831258,84.713448,94.591962,-39.678055,5.969600
0.020000,56.891949,304.038064,38.563075,86.590876,93.871413,-36.027476,5.955710
0.020000,58.562955,303.457302,40.332127,88.452605,93.086480,-39.246629,5.941707
0.020000,60.260319,302.840521,42.138079,90.297583,92.248892,-41.879423,5.927618
0.020000,61.982976,302.186871,43.980579,92.125009,91.371276,-43.880788,5.913471
0.020000,63.729855,301.495568,45.859271,93.934606,90.479871,-44.570257,5.899293
