dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,204.029771,185.180029,0.012000,1.200000,60.000000,3000.000000,3.137389
0.020000,204.035571,185.180003,0.017800,0.290001,-45.499971,-5274.998544,3.136899
0.020000,204.045248,185.179954,0.027477,0.483840,9.691981,2759.597607,3.136080
0.020000,204.020342,185.180118,0.052383,1.245298,38.072905,1419.046211,3.134931
0.020000,203.929876,185.180787,0.142852,4.523446,163.907360,6291.722726,3.133451
0.020000,203.819360,185.181787,0.253372,5.526020,50.128732,-5688.931383,3.131632
0.020000,203.688914,185.183228,0.383826,6.522699,49.833955,-14.738861,3.129471
0.020000,203.538607,185.185238,0.534146,7.516015,49.665809,-8.407326,3.126962
0.020000,203.368459,185.187971,0.704316,8.508504,49.624442,-2.068321,3.124096
0.020000,203.178671,185.191598,0.894139,9.491147,49.132156,-24.614330,3.120868
0.020000,202.969265,185.196315,1.103599,10.472959,49.090568,-2.079392,3.117267
0.020000,202.740432,185.202338,1.332511,11.445603,48.632204,-22.918173,3.113284
0.020000,202.492292,185.209906,1.580765,12.412739,48.356784,-13.771020,3.108906
0.020000,202.225010,185.219285,1.848212,13.372325,47.979301,-18.874130,3.104121
0.020000,201.938795,185.230759,2.134658,14.322284,47.497987,-24.065714,3.098916
0.020000,201.633766,185.244644,2.440002,15.267214,47.246508,-12.573951,3.093274
0.020000,201.310243,185.261273,2.763952,16.197506,46.514566,-36.597076,3.087180
0.020000,200.968427,185.281012,3.106338,17.119306,46.089999,-21.228398,3.080615
0.020000,200.608573,185.304253,3.466942,18.030183,45.543855,-27.307193,3.073559
0.020000,200.230995,185.331411,3.845495,18.927663,44.874023,-33.491575,3.065990
0.020000,199.836066,185.362929,4.241680,19.809248,44.079237,-39.739310,3.057886
0.020000,199.424066,185.399288,4.655280,20.680014,43.538295,-27.047083,3.049221
0.020000,198.995456,185.440984,5.085914,21.531686,42.583588,-47.735363,3.039969
0.020000,198.550647,185.488553,5.533260,22.367288,41.780130,-40.172882,3.030100
0.020000,198.090123,185.542553,5.996938,23.183934,40.832308,-47.391098,3.019584
0.020000,197.614358,185.603583,6.476602,23.983167,39.961612,-43.534820,3.008387
0.020000,197.123963,185.672256,6.971782,24.759030,38.793142,-58.423516,2.996475
0.020000,196.619499,185.749229,7.482084,25.515093,37.803149,-49.499629,2.983811
0.020000,196.101619,185.835183,8.007049,26.248240,36.657364,-57.289250,2.970355
0.020000,195.571059,185.930820,8.546160,26.955555,35.365779,-64.579261,2.956068
0.020000,195.028535,186.036882,9.098954,27.639703,34.207370,-57.920433,2.940906
0.020000,194.474873,186.154126,9.664893,28.296964,32.863067,-67.215186,2.924827
0.020000,193.910922,186.283340,10.243458,28.928246,31.564100,-64.948307,2.907787
0.020000,193.337562,186.425337,10.834141,29.534111,30.293247,-63.542664,2.889740
0.020000,192.755749,186.580948,11.436403,30.113118,28.950327,-67.146000,2.870644
0.020000,192.166431,186.751035,12.049776,30.668646,27.776408,-58.695938,2.850456
0.020000,191.570617,186.936472,12.673780,31.200202,26.577808,-59.930036,2.829137
0.020000,190.969319,187.138160,13.308001,31.711069,25.543362,-51.722281,2.806653
0.020000,190.363538,187.357030,13.952110,32.205416,24.717323,-41.301949,2.782975
0.020000,189.754261,187.594042,14.605862,32.687619,24.110186,-30.356846,2.758083
0.020000,189.142428,187.850199,15.269154,33.164618,23.849929,-13.012846,2.731967
0.020000,188.528929,188.126547,15.942021,33.643319,23.935070,4.257028,2.704631
0.020000,187.914569,188.424201,16.624690,34.133441,24.506078,28.550421,2.676094
0.020000,187.300036,188.744361,17.317620,34.646515,25.653725,57.382338,2.646395
0.020000,186.685925,189.088315,18.021493,35.193637,27.356094,85.118452,2.615591
0.020000,186.072691,189.457474,18.737268,35.788765,29.756395,120.015051,2.583765
0.020000,185.460646,189.853394,19.466207,36.446943,32.908889,157.624688,2.551022
0.020000,184.850009,190.277763,20.209824,37.180862,36.695959,189.353500,2.517490
0.020000,184.240879,190.732429,20.969929,38.005246,41.219211,226.162608,2.483323
0.020000,183.633280,191.219390,21.748587,38.932888,46.382089,258.143880,2.448695
0.020000,183.027211,191.740759,22.548053,39.973313,52.021219,281.956532,2.413797
0.020000,182.422663,192.298744,23.370747,41.134683,58.068524,302.365218,2.378834
0.020000,181.819672,192.895594,24.219173,42.421327,64.332224,313.185005,2.344018
0.020000,181.218350,193.533536,25.095848,43.833725,70.619887,314.383185,2.309561
0.020000,180.618900,194.214714,26.003231,45.369158,76.771627,307.586981,2.275672
