dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432794,205.125487,0.017910,1.791045,89.552239,4477.611940,0.000014
0.020000,30.432794,205.125487,0.071642,3.582090,89.552239,0.000000,0.000003
0.020000,30.506438,205.125486,0.161194,5.373134,89.552239,-0.000000,6.283170
0.020000,30.631812,205.125483,0.286567,7.164179,89.552239,0.000000,6.283145
0.020000,30.793006,205.125474,0.447761,8.955224,89.552239,-0.000000,6.283113
0.020000,30.990021,205.125456,0.644776,10.746269,89.552239,0.000000,6.283073
0.020000,31.222856,205.125424,0.877612,12.537313,89.552239,0.000000,6.283027
0.020000,31.491513,205.125374,1.146269,14.328358,89.552239,0.000000,6.282974
0.020000,31.795991,205.125301,1.450746,16.119403,89.552239,-0.000000,6.282914
0.020000,32.136289,205.125197,1.791045,17.910448,89.552239,0.000000,6.282848
0.020000,32.512409,205.125057,2.167164,19.701493,89.552239,0.000000,6.282775
0.020000,32.924349,205.124871,2.579104,21.492537,89.552239,-0.000000,6.282696
0.020000,33.372110,205.124633,3.026866,23.283582,89.552239,0.000000,6.282611
0.020000,33.855692,205.124333,3.510448,25.074627,89.552239,-0.000000,6.282520
0.020000,34.375095,205.123963,4.029851,26.865672,89.552239,0.000000,6.282424
0.020000,34.930318,205.123512,4.585075,28.656716,89.552239,-0.000000,6.282323
0.020000,35.521363,205.122971,5.176119,30.447761,89.552239,0.000000,6.282216
0.020000,36.148228,205.122329,5.802985,32.238806,89.552239,-0.000000,6.282105
0.020000,36.810914,205.121574,6.465672,34.029851,89.552239,0.000000,6.281990
0.020000,37.509421,205.120698,7.164179,35.820896,89.552239,-0.000000,6.281870
0.020000,38.243749,205.119687,7.898507,37.611940,89.552239,0.000000,6.281747
0.020000,39.013897,205.118530,8.668657,39.402985,89.552239,0.000000,6.281621
0.020000,39.819866,205.117216,9.474627,41.194030,89.552239,-0.000000,6.281491
0.020000,40.661656,205.115734,10.316418,42.985075,89.552239,0.000000,6.281359
0.020000,41.539267,205.114073,11.194030,44.776119,89.552239,0.000000,6.281225
0.020000,42.452698,205.112219,12.107463,46.567164,89.552239,0.000000,6.281089
0.020000,43.401949,205.110164,13.056716,48.358209,89.552239,-0.000000,6.280952
0.020000,44.387021,205.107896,14.041791,50.149254,89.552239,0.000000,6.280814
0.020000,45.407914,205.105404,15.062687,51.940299,89.552239,0.000000,6.280676
